"SITE NAME","GLOBAL ID",SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
"H & H RECYCLING",T0601300141,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","901 SANFORD AVE",RICHMOND,37.952324,-122.36085
"H & H RECYCLING",T0601391554,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","901 SANFORD AVE",RICHMOND,37.952324,-122.36085
HACIENDA,T0601300142,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1300 ROOSEVELT AVE",RICHMOND,37.939228,-122.356301
"HALL AVE PROPERTY",T0601300243,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1311 HALL AVE",RICHMOND,37.9137838,-122.3558662
"HARBOR PLASTICS",SLT2O230326,"CLEANUP PROGRAM SITE","OPEN - INACTIVE","UNKNOWN 31ST & JULIGA WOODS STREET",RICHMOND,37.924388,-122.339469
"HARBOR PLASTICS MANUFACTURING COMPANY",60001433,EVALUATION,"INACTIVE - NEEDS EVALUATION","4800 BISSELL AVENUE",RICHMOND,37.9316389,-122.32438
"HARBOR WAY PROPERTIES",T0601300143,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","155 11TH ST",RICHMOND,37.933448,-122.3581
"HARBORFRONT TRACT",70000178,"STATE RESPONSE OR NPL",ACTIVE,"MEADE SOUTH 49TH EAST MONTGOMERY",RICHMOND,37.9123438,-122.32812
"HARBOUR WAY SOUTH",7340024,"STATE RESPONSE OR NPL",ACTIVE,"738 HARBOUR WAY SOUTH",RICHMOND,37.9217255,-122.3598
"HARRY ELLS MIDDLE SCHOOL",7990011,SCHOOL,"NO FURTHER ACTION","130 33RD STREET",RICHMOND,37.9331298,-122.33776
"HEGARTY SITE",7750022,EVALUATION,"INACTIVE - NEEDS EVALUATION","560 W. GERTRUDE AVE",RICHMOND,37.955277,-122.37586
"HELMS MIDDLE SCHOOL RECONSTRUCTION",70000138,SCHOOL,"NO FURTHER ACTION","2500 ROAD 20","SAN PABLO",37.9623453,-122.33983
"HENRY'S SERVICE",T0600101766,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1321 GILMAN ST",BERKELEY,37.882185,-122.288123
"HERTZ RENTAL EQUIPMENT/BIG-4 RENTS",7590001,EVALUATION,"NO FURTHER ACTION","21- PARR BOULEVARD",RICHMOND,37.9687878,-122.37518
"HILDRETH HOLDINGS",7410002,"STATE RESPONSE OR NPL","REFER: OTHER AGENCY","2812 GIANT ROAD","SAN PABLO",37.9722222,-122.355
"HILL LUMBER COMPANY",T0600100706,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1259 BRIGHTON",ALBANY,37.8978095,-122.295448
"HILLTOP FORD",T0601300148,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3280 AUTO PLAZA DR",RICHMOND,37.985816,-122.319206
"HOME DEPOT",T0601300395,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","11909 39 SAN PABLO AVE","EL CERRITO",37.929405,-122.321709
"HUNTER HALL U.S. ARMY RESERVE CENTER",SL0601394009,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","2600 CASTRO ROAD","SAN PABLO",37.967102,-122.33899
"ICI AMERICAS INC  AG PLANT",T0601300531,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1415 47TH ST S",RICHMOND,37.9149179,-122.3331764
"IMTT RICHMOND TERMINAL (FORMER TEXACO FACILITY)",SLT2O235331,"CLEANUP PROGRAM SITE","OPEN - REMEDIATION","100 CUTTING BLVD W",RICHMOND,37.9222636602367,-122.370357513428
"IMTT-RICHMOND CA.",71002391,"TIERED PERMIT","REFER: OTHER AGENCY","100 CUTTING BOULEVARD",RICHMOND,37.9252054,-122.36945
IMTT-RICHMOND-CA,80001378,"CORRECTIVE ACTION","NO ACTION REQUIRED","100 CUTTING BLVD",RICHMOND,37.925266,-122.36892
"INTER MOUNTAIN TRADING CORP",SLT2O01927,"CLEANUP PROGRAM SITE","OPEN - INACTIVE","1451 5TH ST",BERKELEY,37.875607,-122.300963
JACKPOT,T0601300599,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1405 RUMRILL BLVD","SAN PABLO",37.953544,-122.357225
"JACUZZI STREET CENTER",T0601300151,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","5327 JACUZZI ST",RICHMOND,37.898173,-122.309986
"JANCO CHEMICAL CORP",T0600116904,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1235 FIFTH STREET",BERKELEY,37.880301,-122.3029
"JIFFY LUBE #889",T0600102296,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","960 UNIVERSITY AVE",BERKELEY,37.868277,-122.294838
"JIM DOTEN HONDA",T0600100757,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2000 5TH ST",BERKELEY,37.8676292,-122.2987907
"JOE SHIO CHEVROLET",T0600101583,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","914 SAN PABLO",ALBANY,37.88984141720113,-122.2989742473602
"JOHNSON PROPERTY",T0601300632,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1 MAGNOLIA LN",RICHMOND,37.954385,-122.305067
"KAISER BIOMEDICAL FACILITY",T0600101791,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1795 2ND ST",BERKELEY,37.8706699,-122.302677
"KAISER FOUNDATION HOSPITAL",T0601300485,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1330 CUTTING BLVD",RICHMOND,37.9245639,-122.356403
"KAISER PERMANANTE / CATELLUS CTR",7400001,"VOLUNTARY CLEANUP","CERTIFIED / OPERATION & MAINTENANCE","23RD STREET RAILYARD",RICHMOND,37.9188888,-122.34888
"KAISER PERMANENTE",T10000002945,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","727 MACDONALD AVE",RICHMOND,37.93651463161,-122.362139225006
"KAISER REGIONAL LABORATORY",T0600100776,"LUST CLEANUP SITE","OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION","1725 EASTSHORE HWY",BERKELEY,37.8706,-122.3035
"KARBER'S AUTO BODY",T0601367336,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2323 NEVIN AVENUE",RICHMOND,37.93711,-122.346582
"KARNES PROPERTY",70000164,EVALUATION,"INACTIVE - NEEDS EVALUATION","11 PARR BOULEVARD",RICHMOND,37.9687932,-122.37572
"KEENAN SUPPPLY",T0601300398,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4889 CENTRAL AVE",RICHMOND,37.8987399,-122.320024
"KENSINGTON LABORATORIES, INC.",71003082,"TIERED PERMIT","INACTIVE - NEEDS EVALUATION","750 NATIONAL CT",RICHMOND,37.9289729,-122.3766
"KIM PROPERTY",T0601313075,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1034 13TH ST",RICHMOND,37.948247,-122.356819
"KIMKRIS TRUCKING COMPANY INC",T0601300157,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1101 WRIGHT AVE",RICHMOND,37.921803,-122.358802
"KINDER MORGAN ENERGY PARTNERS",SL0601318600,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS","520 CASTRO STREET",RICHMOND,37.9398569476132,-122.376687526703
"KINDER MORGAN ENERGY PARTNERS RICHMOND STATION",T10000006447,"CLEANUP PROGRAM SITE","OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION","520 CASTRO ST.",RICHMOND,37.9401507265845,-122.376311138053
"KLD TRUCKING",T0601300158,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1132 HOFFMAN BLVD",RICHMOND,37.922575,-122.3565372
"KM PHOENIX HOLDINGS RICHMOND TERMINAL (FORMERLY ARCO AND BP)",T0601300023,"CLEANUP PROGRAM SITE","OPEN - REMEDIATION","1306 CANAL BLVD",RICHMOND,37.9126827188588,-122.36554373016361
"LAIDLAW TRANSIT INC",T0601300386,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","436 PARR BLVD",RICHMOND,37.968227,-122.364049
"LAL'S BEST SERVICE STATION",T0601300708,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","695 HARBOUR WY",RICHMOND,37.94191,-122.360273
"LAZY J RANCH",T10000013307,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3001 GIANT ROAD","SAN PABLO",37.97476,-122.35494
"LEE PROPERTY",T0601391855,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1801 RUMRILL RD","SAN PABLO",37.958952,-122.356973
"LEO'S AUTO REPAIR",T0601300165,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3401 CUTTING BLVD",RICHMOND,37.925515,-122.336816
"LEVIN RICHMOND TERMINAL",T0601300564,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","402 WRIGHT AVE",RICHMOND,37.921007,-122.366537
"LIBERTY VILLAGE APARTMENTS",60002354,"VOLUNTARY CLEANUP",CERTIFIED,"298 WEST CHANSLOR AVE",RICHMOND,37.9327551,-122.37394
"LILLIE MAE JONES PLAZA",60000980,"VOLUNTARY CLEANUP",CERTIFIED,"116 MACDONALD AVENUE",RICHMOND,37.935361,-122.36803
"LINOLEUM SALES",T0600100840,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1706 SAN PABLO AVE",BERKELEY,37.873013,-122.292695
"LOCKAWAY STORAGE",T0601300453,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3230 PIERCE ST",RICHMOND,37.8997979,-122.308551
"LONESTAR INDUSTRIES",T0600100847,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","808 GILMAN ST",BERKELEY,37.8784319,-122.301706
"LOU'S PRODUCE",T0601300457,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","104 21ST ST",RICHMOND,37.9336317,-122.3495585
"LUX CHEMICAL",60001019,EVALUATION,"NO FURTHER ACTION","1063 HENSLEY STREET",RICHMOND,37.9477246,-122.36571
"M & H MINI MARKET",T0601300721,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4917 APPIAN WY","EL SOBRANTE",37.975468,-122.300052
"MACDONALD SAN PABLO WALL 45TH  PLUME",60000506,EVALUATION,"INACTIVE - NEEDS EVALUATION","SAN PABLO WALL 45TH  PLUME","EL CERRITO AND RICHMOND",37.9296855,-122.32505
"MADE IN JAPAN",T0600102078,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","660 SAN PABLO",ALBANY,37.894377,-122.300618
"MAJOR LINES GASOLINE",T0601300713,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1390 SAN PABLO AVE",PINOLE,38.0045,-122.3014
"MARINA BAY PROJECT",7370031,"VOLUNTARY CLEANUP",ACTIVE,"MARINA BAY PARKWAY & REGATTA BLVD",RICHMOND,37.9122642,-122.34961
"MARINA BAY REDEVELOPMENT",T0601391555,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1450 MARINA WAY",RICHMOND,37.911186,-122.355547
"MARINA BAY REDEVELOPMENT",T0601300711,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","UNKNOWN MARINA WY FOOT OF",RICHMOND,37.9311,-122.3561
"MARINA PENINSULA TOWNHOUSES",7320034,"STATE RESPONSE OR NPL","NO FURTHER ACTION","MARINA PARKWAY & PENINSULA DRIVE",RICHMOND,37.9191666,-122.34277
"MARINA SOUTH SHORE",7150007,"STATE RESPONSE OR NPL","NO FURTHER ACTION","MARINA BAY PARKWAY AND SEAGULL DRIVE",RICHMOND,37.9191666,-122.34277
"MARINE TERMINAL - TERM. 3",SL0003744500,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1411 HARBOUR WAY SOUTH",RICHMOND,37.913378,-122.360629
"MARIPOSA PROPERTY",T0600102175,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1028 MARIPOSA",BERKELEY,37.889032,-122.270174
"MARTIN GROUP MARINA BAY DEVELOPMENT",T0601391561,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","UNKNOWN WEST SHORE AREA",RICHMOND,37.9187851,-122.3245693
"MARWAIS STEEL COMPANY",T0601300174,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1 BARRETT AVE",RICHMOND,37.939372,-122.368641
"MARWAIS STEEL COMPANY",60001856,"VOLUNTARY CLEANUP",ACTIVE,"1 BARRETT AVENUE",RICHMOND,37.939373,-122.36864
"MASHOON PROPERTY",T0601300664,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3701 CUTTING BLVD",RICHMOND,37.925615,-122.333579
"MATLACK INC",T0601300735,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2750 GOODRICK AVE",RICHMOND,37.972122,-122.36377
"MATLACK INC.",T0601300176,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","850 BROOKSIDE DRIVE",RICHMOND,37.9646868639718,-122.358083724976
"MATLACK, INC./BRITE SOL",71003015,"TIERED PERMIT","INACTIVE - NEEDS EVALUATION","2750 GOODRICK AVENUE",RICHMOND,37.9720432,-122.36414
"MCDERMOTT PROPERTIES",T10000008344,"CLEANUP PROGRAM SITE","OPEN - SITE ASSESSMENT","10012-10020 SAN PABLO AVENUE","EL CERRITO",37.90111,-122.30242
MCDONALDS,T0601392774,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","11821 SAN PABLO AVE","EL CERRITO",37.928816,-122.32126
"MCKOSKER SITE",7750023,EVALUATION,"REFER: RWQCB","716 W. GERTRUDE AVE",RICHMOND,37.9554669,-122.37683
"MELIN'S REFRIGERATION",T0601300629,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","149 ESPEE AVE",RICHMOND,37.933261,-122.350159
"MEMORIAL PARK",T0600101681,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1325 PORTLAND",ALBANY,37.895108,-122.290996
"MERCURY DRY CLEANERS",7720037,"VOLUNTARY CLEANUP","CERTIFIED / OPERATION & MAINTENANCE","2714 PINOLE VALLEY ROAD",PINOLE,37.9953015,-122.28645
"MEYERS DRUM DH SUTTON",SLT2O234330,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","2200 CENTRAL ST",RICHMOND,37.9639,-122.370824
"MIFUNE PROPERTY",T0601347816,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10793 SAN PABLO AVE",RICHMOND,37.913467,-122.310613
"MILLER KNOX PARK",T0601300180,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","900 GARRARD BLVD S",RICHMOND,37.917272,-122.382846
"MILLER PROPERTY",7880001,EVALUATION,"NO FURTHER ACTION","385 PITTSBURG AVENUE",RICHMOND,37.9639027,-122.37328
"MIRA COSTA COLLEGE HORTICULTURE DEPT - APN # 7601855500",AGL020032061,"IRRIGATED LAND REGULATORY PROGRAM",ENROLLED,"ONE BARNARD DR.",OCEANSIDE,37.969875,-122.3252
"MIRA VISTA LINCOLN  MERCURY",T0601300181,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3255 AUTO PLAZA DR",RICHMOND,37.985181,-122.321971
"MIRAFLORES HOUSING DEVELOPMENT",70000104,"VOLUNTARY CLEANUP","CERTIFIED / OPERATION & MAINTENANCE","SOUTH 47TH STREET AND WALL AVENUE",RICHMOND,37.9305649,-122.32637
MOBIL,T0601300189,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","6700 FAIRMOUNT AVE","EL CERRITO",37.901858,-122.298059
MOBIL,T0600102022,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1299 SAN PABLO AVE",BERKELEY,37.880801,-122.295553
"MODEL LAUNDRY",T0601300451,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4020 SAN PABLO DAM RD","EL SOBRANTE",37.965177,-122.311049
"MODESTO TALLOW",T0601300656,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","UNKNOWN UNKNOWN",RICHMOND,37.935758,-122.347749
"MODESTO TALLOW (FORMER)",SL18371791,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","POINT SAN PABLO",RICHMOND,38.001848,-122.330693
"MOHAWK GETTY OIL",T0601300195,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3201 CARLSON BLVD","EL CERRITO",37.9016639,-122.304849
"MONTGOMERY WARD",T0601300196,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","211 CUTTING BLVD W",RICHMOND,37.9261399,-122.373608
"MSC PINOLE POINT STEEL INC",80001839,"CORRECTIVE ACTION","REFER: RWQCB","5000 GIANT RD",RICHMOND,37.984526,-122.35205
"MUSSEN PROPERTY",SLT2O01624,"CLEANUP PROGRAM SITE","OPEN - INACTIVE","1450 4TH ST",BERKELEY,37.875377,-122.302905
"MYERS CONTAINER CORP",T0601300609,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","900 BROOKSIDE DR","SAN PABLO",37.965143621964195,-122.35975742340088
"NARASAKI AUTO REPAIR",T0601300199,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","12786 SAN PABLO AVE",RICHMOND,37.945416,-122.329455
"NAVISTAR INTERNATIONAL TRANSPORTATION",T0601300490,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","830 MARINA WY S",RICHMOND,37.920715,-122.355477
"NAVISTAR INTERNATIONAL TRANSPORTATION",60002097,"VOLUNTARY CLEANUP",ACTIVE,"830 MARINA WAY SOUTH",RICHMOND,37.920406,-122.35431
"NEON ASSOCIATES",7320038,EVALUATION,"INACTIVE - NEEDS EVALUATION","2800 RADIANT AVENUE",RICHMOND,37.9724309,-122.36144
"NICKSON AUTO REPAIR",T0600100965,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1111 SAN PABLO AVE",ALBANY,37.8835249808713,-122.296473383904
"NOLL MANUFACTURING",T0601300203,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1900 7TH ST",RICHMOND,37.960567,-122.360597
"NORTH AMERICA PACKAGING CORPORATION",7340094,"VOLUNTARY CLEANUP","NO FURTHER ACTION","801 CHESLEY AVENUE",RICHMOND,37.9561263,-122.36079
NUSBAUM,T0601300552,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1880 GARDEN TRACT RD",RICHMOND,37.959687,-122.375817
"NYSTROM ELEMENTARY SCHOOL",T10000005912,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","230 HARBOUR WAY SOUTH",RICHMOND,37.9282353525292,-122.359730411114
"OFF-SITE SUMMER CHEMICAL/MEEKER AVENUE",7280163,"STATE RESPONSE OR NPL",CERTIFIED,"MEEKER AVENUE",RICHMOND,37.9198777,-122.35055
"OHLONE GARDENS",60001942,"VOLUNTARY CLEANUP","NO FURTHER ACTION","6495 PORTOLA DRIVE","EL CERRITO",37.913721,-122.30814
"OISHI NURSERY",T0601300205,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","130 47TH ST S",RICHMOND,37.929434,-122.324777
"OMO FABRICARE DRY CLEANERS",60001434,"VOLUNTARY CLEANUP",ACTIVE,"12210 SAN PABLO AVENUE","EL CERRITO",37.9338643,-122.32412
"OMS #39 STATE MILITARY DEPT",T0601300206,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","624 CARLSON BLVD",RICHMOND,37.923921,-122.335642
"PABCO ROOFING PRODUCTS",T0601300449,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1014 CHESLEY AVE",RICHMOND,37.953145,-122.359207
"PACIFIC BELL",T0601300211,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2105 MACDONALD AVE",RICHMOND,37.9357468,-122.3494107
"PACIFIC COAST CHEMICALS CO.",T10000001541,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2424 FOURTH STREET",BERKELEY,37.8688788,-122.3002756
"PACIFIC IMPORTS",T0601300588,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10439 SAN PABLO AVE","EL CERRITO",37.908518,-122.305423
"PACIFIC MOLASSES COMPANY",T0601300448,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2055 WESTERN DR",RICHMOND,37.9354,-122.4082
"PACIFIC RACING ASSOCIATION",T0600101521,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1100 EASTSHORE",ALBANY,37.881531,-122.30692
"PACIFIC STEEL CASTING",T0600101038,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","650 CEDAR ST",BERKELEY,37.87327,-122.3036758
"PACIFIC STEEL PLANT #2",T0600100609,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1333 2ND ST",BERKELEY,37.8774919,-122.304895
"PAKTANK CORPORATION",T0601300447,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2101 WESTERN DR",RICHMOND,37.9322,-122.399
"PARKWAY TRANSIT VILLAGE",70000184,"VOLUNTARY CLEANUP","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","NORTH END OF GOODRICK AVENUE",RICHMOND,37.9832444,-122.35988
"PARS' AUTO SALES",T0601300446,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4201 MACDONALD AVE",RICHMOND,37.933421,-122.329601
"PASHA SERVICES",T0601300214,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1301 CANAL BLVD",RICHMOND,37.9173661,-122.3720531
"PASHA SERVICES",T0601392737,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1301 CANAL BLVD",RICHMOND,37.909783,-122.366029
"PAY N PAK STORE #229",T0601300215,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1711 EASTSHORE BLVD","EL CERRITO",37.922944,-122.318373
"PEERLESS LIGHTING",T0600101057,"LUST CLEANUP SITE","OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION","2220 4TH ST",BERKELEY,37.8641020539904,-122.29895954418
"PG & E",T0601300217,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1100 27TH ST S",RICHMOND,37.91638886007998,-122.34306393809788
"PG&E RICHMOND SERVICE CENTER",T10000006346,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1100 S. 27TH STREET",RICHMOND,37.9168061740943,-122.342398770361
"PILGRIM FIREPLACE EQUIP COMPANY",T0601300221,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","720 HARBOUR WY S",RICHMOND,37.921843,-122.359564
"PINOLE POINT STEEL CO.",71003526,"TIERED PERMIT","INACTIVE - NEEDS EVALUATION","5000 GIANT ROAD (FORMER)",RICHMOND,37.9357576,-122.34774
"PLAINS PRODUCTS TERMINALS, RICHMOND (FORMERLY PACIFIC ATLANTIC, FORMERLY SHORE TERMINALS)",SL372291176,"CLEANUP PROGRAM SITE","OPEN - VERIFICATION MONITORING","488 WRIGHT AVE",RICHMOND,37.919576,-122.364467
"PLANT RECLAMATION",T0601300520,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","912 HARBOUR WY S",RICHMOND,37.917413,-122.358013
"PLAZA AUTO SERVICE",T0601300724,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","6801 FAIRMOUNT AVE","EL CERRITO",37.902273,-122.297779
"PLAZA CAR WASH",T0600101089,"LUST CLEANUP SITE","OPEN - VERIFICATION MONITORING","400 SAN PABLO AVE",ALBANY,37.8979845292844,-122.301899492741
"PODLESAK PROPERTY",T0600101093,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1241 6TH ST",BERKELEY,37.880557,-122.300848
"POINT ISABEL REGIONAL SHORELINE",T10000001990,"CLEANUP PROGRAM SITE","OPEN - REMEDIATION","RYDIN ROAD",RICHMOND,37.9042682873005,-122.320618629455
"POINT MOLATE/RICHMOND NSC",7970002,"OPEN BASE","REFER: RWQCB","300+ ACRES; IN THE PROTERO HILLS",RICHMOND,37.9372254,-122.41069
"POINT PINOLE PROPERTIES",7340065,"STATE RESPONSE OR NPL","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","5000 GIANT ROAD",RICHMOND,38.0003559,-122.33853
"POINT RICHMOND GAS HOLDER (FORMER)",SL18377797,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","END OF BRICKYARD COVE RD","POINT RICHMOND",37.9309825,-122.394774
"PORT DEVELOPMENT",T0601300440,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2005 NEVIN AVE",RICHMOND,37.9371,-122.34933
"PORT OF RICHMOND (UNION CARBIDE)",7990001,"STATE RESPONSE OR NPL","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","1215 HARBOUR WAY S",RICHMOND,37.9149752,-122.36081
"PORT OF RICHMOND TERMINAL 4 (FORMER UNITED MOLASSES/PM-AG LEASEHOLD)",T10000001311,"CLEANUP PROGRAM SITE","OPEN - VERIFICATION MONITORING","WESTERN DRIVE",RICHMOND,37.9625214540856,-122.427735328674
"PORT OF RICHMOND TERMINAL 4 (FORMER VOPAK LEASEHOLD)",T10000000088,"CLEANUP PROGRAM SITE","OPEN - VERIFICATION MONITORING","2055 WESTERN DRIVE",RICHMOND,37.9622465439657,-122.426678538322
"POTTER PROPERTY",T0601300628,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1401 CUTTING BLVD",RICHMOND,37.925484,-122.355545
"PRC-DESOTO INTERNATIONAL",SL18280701,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1608 4TH ST",BERKELEY,37.873666,-122.300693
"PRICE CLUB",T0601300229,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3200 REGATTA BLVD",RICHMOND,37.916518,-122.340184
"PRIVATE RESIDENCE",T0600152693,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","PRIVATE RESIDENCE",BERKELEY,37.891155,-122.266464
"PRIVATE RESIDENCE",T10000008794,"LUST CLEANUP SITE","OPEN - SITE ASSESSMENT","PRIVATE RESIDENCE",KENSINGTON,37.91453,-122.28378
"PT SAN PABLO YACHT HARBOUR",T0601300226,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1900 WESTERN DR",RICHMOND,37.96224,-122.418848
"PULLMAN PROPERTIES",T0601300230,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","350 CARLSON BLVD",RICHMOND,37.9269589,-122.339918
"R STRONG HANDBLOWN ARTGLASS",T0600102060,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1235 4TH ST",BERKELEY,37.879495,-122.30338
"RADIANT AVENUE PROPERTY",T10000008966,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","RADIANT AVENUE",RICHMOND,37.97239,-122.3624
"RC IMPORTS",T0601300641,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","6501 FAIRMOUNT AVE","EL CERRITO",37.901424,-122.300632
"REACTION PRODUCTS",7280013,"STATE RESPONSE OR NPL",ACTIVE,"840 MORTON AVENUE",RICHMOND,37.9819202,-122.35653
"REACTION PRODUCTS",T0601300231,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","840 MORTON AVENUE",RICHMOND,37.98192,-122.356537
"READ INVESTMENTS BERKELEY LLC SITE (FORMER JIM DOTEN HONDA SITE)",T10000008693,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","2001 4TH STREET",BERKELEY,37.86743,-122.29884
"REICHELT SITE",7750024,"STATE RESPONSE OR NPL","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","521 WEST GERTRUDE AVENUE",RICHMOND,37.954766,-122.37534
"REIDEL INTERNATIONAL",T0601300233,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","230 CUTTING BLVD",RICHMOND,37.9252001,-122.3674475
"RENT A RACK",T0601300234,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1271 TARA HILLS DR",PINOLE,37.9968,-122.306
